,Make,Ex-Showroom_Price,Displacement,Fuel_Tank_Capacity,Fuel_Type,City_Mileage,Type
423,Maruti Suzuki Swift Vdi,"Rs. 6,98,000",1248 cc,37 litres,Diesel,,Manual
424,Maruti Suzuki Swift Vdi Amt,"Rs. 7,45,000",1248 cc,37 litres,Diesel,,Automatic
425,Maruti Suzuki Swift Zdi,"Rs. 7,57,000",1248 cc,37 litres,Diesel,,Manual
426,Maruti Suzuki Swift Zdi Amt,"Rs. 8,04,000",1248 cc,37 litres,Diesel,,Automatic
427,Maruti Suzuki Swift Zdi Plus,"Rs. 8,38,000",1248 cc,37 litres,Diesel,,Manual
428,Maruti Suzuki Swift Zxi Plus Amt,"Rs. 8,02,000",1197 cc,37 litres,Petrol,,Automatic
429,Maruti Suzuki Swift Zdi Plus Amt,"Rs. 8,84,000",1248 cc,37 litres,Diesel,,Automatic
430,Tata Altroz Xe Petrol,"Rs. 5,29,000",1199 cc,37 litres,Petrol,,Manual
431,Tata Altroz Xm Petrol,"Rs. 6,15,000",1199 cc,37 litres,Petrol,,Manual
432,Tata Altroz Xt Petrol,"Rs. 6,84,000",1199 cc,37 litres,Petrol,,Manual
433,Tata Altroz Xz Petrol,"Rs. 7,44,000",1199 cc,37 litres,Petrol,,Manual
434,Tata Altroz Xz (O) Petrol,"Rs. 7,69,000",1199 cc,37 litres,Petrol,,Manual
435,Tata Altroz Xe Diesel,"Rs. 6,99,000",1497 cc,37 litres,Diesel,,Manual
436,Tata Altroz Xm Diesel,"Rs. 7,75,000",1497 cc,37 litres,Diesel,,Manual
437,Tata Altroz Xt Diesel,"Rs. 8,44,000",1497 cc,37 litres,Diesel,,Manual
438,Tata Altroz Xz Diesel,"Rs. 9,04,000",1497 cc,37 litres,Diesel,,Manual
439,Tata Altroz Xz (O) Diesel,"Rs. 9,29,000",1497 cc,37 litres,Diesel,,Manual
440,Icml Extreme Ld Di Non Ac 9 Seater Bsiii,"Rs. 6,42,478",1994 cc,50 litres,Diesel,8.6 km/litre,Manual
441,Icml Extreme Ld Crdfi Non Ac 9 Seater Bsiv,"Rs. 5,89,678",1994 cc,50 litres,Diesel,8.6 km/litre,Manual
442,Icml Extreme Ld Di Ps Ac 9 Seater Bsiii,"Rs. 6,89,761",1994 cc,50 litres,Diesel,8.6 km/litre,Manual
443,Icml Extreme Ld Crdfi Ps Ac 9 Seater Bsiii,"Rs. 7,88,177",1994 cc,50 litres,Diesel,8.6 km/litre,Manual
444,Icml Extreme Sd Di 9 Seater Bsiii,"Rs. 26,50,777",1994 cc,50 litres,Diesel,8.6 km/litre,Manual
445,Icml Extreme Ld Crdfi Ps Ac 9 Seater Bsiv,"Rs. 6,28,072",1994 cc,50 litres,Diesel,8.6 km/litre,Manual
446,Icml Extreme Vd Crdfi 7 Seater Bsiii,"Rs. 9,00,967",1994 cc,50 litres,Diesel,8.6 km/litre,Manual
447,Icml Extreme Vd Di 7 Seater Bsiii,"Rs. 14,65,148",1994 cc,50 litres,Diesel,8.6 km/litre,Manual
448,Icml Extreme Sd Crdfi 9 Seater Bsiv,"Rs. 5,52,890",1994 cc,50 litres,Diesel,8.6 km/litre,Manual
449,Icml Extreme Vd Crdfi 7 Seater Bsiv,"Rs. 9,27,689",1994 cc,50 litres,Diesel,8.6 km/litre,Manual
450,Icml Extreme Sd Crdfi 9 Seater Bsiii,"Rs. 8,35,275",1994 cc,50 litres,Diesel,8.6 km/litre,Manual
451,Tata Tigor Revotron Xe,"Rs. 5,75,000",1199 cc,35 litres,Petrol,24.12 km/litre,Manual
452,Tata Tigor Revotron Xm,"Rs. 6,10,000",1199 cc,35 litres,Petrol,24.12 km/litre,Manual
453,Tata Tigor Revotron Xz,"Rs. 6,50,000",1199 cc,35 litres,Petrol,24.12 km/litre,Manual
454,Tata Tigor Revotron Xz Plus,"Rs. 6,99,000",1199 cc,35 litres,Petrol,24.12 km/litre,Manual
455,Tata Tigor Revotron Xma,"Rs. 6,60,000",1199 cc,35 litres,Petrol,24.12 km/litre,AMT
456,Tata Tigor Revotron Xza Plus,"Rs. 7,49,000",1199 cc,35 litres,Petrol,24.12 km/litre,AMT
457,Tata Zest Xe Petrol,"Rs. 5,82,287",1193 cc,44 litres,Petrol,13.2 km/litre,Manual
458,Tata Zest Xe Diesel,"Rs. 7,02,946",1248 cc,44 litres,Diesel,19.2 km/litre,Manual
459,Tata Zest Xm Petrol,"Rs. 6,53,926",1193 cc,44 litres,Petrol,13.2 km/litre,Manual
460,Tata Zest Xms Petrol,"Rs. 6,72,641",1193 cc,44 litres,Petrol,13.2 km/litre,Manual
