,Make,Ex-Showroom_Price,Displacement,Fuel_Tank_Capacity,Fuel_Type,City_Mileage,Type
744,Honda Civic 1.6 Zx Mt,"Rs. 22,34,900",1597 cc,47 litres,Diesel,,Manual
745,Mg Zs Ev Excite,"Rs. 20,88,000",,,Electric,,Automatic
746,Mg Zs Ev Exclusive,"Rs. 23,58,000",,,Electric,,Automatic
747,Kia Carnival Premium 7 Str,"Rs. 24,95,000",2199 cc,,Diesel,,Automatic
748,Kia Carnival Premium 8 Str,"Rs. 25,15,000",2199 cc,,Diesel,,Automatic
749,Kia Carnival Prestige 7 Str,"Rs. 28,95,000",2199 cc,,Diesel,,Automatic
750,Kia Carnival Prestige 9 (6+3) Str,"Rs. 29,95,000",2199 cc,,Diesel,,Automatic
751,Kia Carnival Limousine 7 Str,"Rs. 33,95,000",2199 cc,,Diesel,,Automatic
752,Skoda Superb Style 1.8 Tsi Mt,"Rs. 25,99,599",1798 cc,66 litres,Petrol,10.6 km/litre,Manual
753,Skoda Superb Style 1.8 Tsi At,"Rs. 27,79,599",1798 cc,66 litres,Petrol,10.1 km/litre,Automatic
754,Skoda Superb L & K 1.8 Tsi At,"Rs. 30,99,599",1798 cc,66 litres,Petrol,"11,3 km/litre",Automatic
755,Skoda Superb L & K 2.0 Tdi At,"Rs. 33,49,599",1968 cc,66 litres,Diesel,15.1 km/litre,Automatic
756,Skoda Superb Style 2.0 Tdi At,"Rs. 30,29,599",1968 cc,66 litres,Diesel,15.1 km/litre,Automatic
757,Skoda Superb Corporate Edition 1.8 Tsi At,"Rs. 25,99,599",1798 cc,66 litres,Petrol,10.1 km/litre,Automatic
758,Skoda Superb Corporate Edition 2.0 Tdi At,"Rs. 28,49,599",1968 cc,66 litres,Diesel,15.1 km/litre,Automatic
759,Volvo V40 Kinetic,"Rs. 27,69,000",1984 cc,60 litres,Diesel,"16,8 km/litre",Automatic
760,Volvo V40 R Design,"Rs. 31,91,000",1984 cc,60 litres,Diesel,"16,8 km/litre",Automatic
761,Toyota Fortuner 2.8 4X2 At,"Rs. 32,05,000",2755 cc,80 litres,Diesel,12.55 km/litre,Automatic
762,Toyota Fortuner 2.8 4X2 Mt,"Rs. 30,19,000",2755 cc,80 litres,Diesel,"12,55 km/litre",Manual
763,Toyota Fortuner 2.8 4X4 Mt,"Rs. 32,16,000",2755 cc,80 litres,Diesel,"12,55 km/litre",Manual
764,Toyota Fortuner 2.8 4X4 At,"Rs. 33,95,000",2755 cc,80 litres,Diesel,"12,55 km/litre",Automatic
765,Toyota Fortuner 2.7 4X2 At,"Rs. 29,77,000",2694 cc,80 litres,Petrol,7.8 km/litre,Automatic
766,Toyota Fortuner 2.7 4X2 Mt,"Rs. 28,18,000",2694 cc,80 litres,Petrol,7.8 km/litre,Manual
767,Toyota Fortuner Trd Celebratory Edition,"Rs. 34,20,000",2755 cc,80 litres,Diesel,12.55 km/litre,Automatic
768,Ford Endeavour 3.2L 4X4 At Titanium Plus,"Rs. 34,70,000",3198 cc,80 litres,Diesel,7.7 km/litre,Automatic
769,Ford Endeavour 2.2L 4X2 At Titanium Plus,"Rs. 32,33,000",2198 cc,80 litres,Diesel,9.3 km/litre,Automatic
770,Ford Endeavour 2.2L 4X2 Mt Titanium,"Rs. 29,20,000",2198 cc,80 litres,Diesel,9.3 km/litre,Manual
771,Mini Cooper 3 Door Cooper D,"Rs. 29,90,000",1496 cc,44 litres,Diesel,,Automatic
772,Mini Cooper 3 Door Cooper S,"Rs. 34,20,000",1998 cc,44 litres,Petrol,,Automatic
773,Skoda Kodiaq Scout 2.0 Tdi At,"Rs. 33,99,000",1968 cc,63 litres,Diesel,,Automatic
774,Bmw X1 Sdrive20D Expedition,"Rs. 35,20,000",1995 cc,51 litres,Diesel,18 km/litre,Automatic
775,Bmw X1 Sdrive20D Xline,"Rs. 39,30,000",1995 cc,51 litres,Diesel,18 km/litre,Automatic
776,Bmw X1 Xdrive20D M Sport,"Rs. 45,70,000",1995 cc,51 litres,Diesel,18 km/litre,Automatic
777,Bmw X1 Sdrive20D M Sport,"Rs. 42,40,000",1995 cc,61 litres,Diesel,,Automatic
778,Bmw X1 Sdrive20I Xline,"Rs. 38,30,000",1998 cc,51 litres,Petrol,15.71 km/litre,Automatic
779,Volvo S60 Polestar,"Rs. 56,02,000",1969 cc,67 litres,Petrol,13.2 km/litre,Automatic
780,Volvo S60 Momentum,"Rs. 38,50,500",1984 cc,67.5 litres,Diesel,,Automatic
781,Bmw 3-Series 320D Sport,"Rs. 41,40,000",1995 cc,40 litres,Diesel,,Automatic
782,Bmw 3-Series 320D Luxury Line,"Rs. 46,90,000",1995 cc,40 litres,Diesel,,Automatic
783,Bmw 3-Series 330I M Sport,"Rs. 47,90,000",1998 cc,59 litres,Petrol,,Automatic
784,Volvo S60 Cross Country D4,"Rs. 44,26,500",2400 cc,67 litres,Diesel,15.6 km/litre,Automatic
785,Audi Q5 35 Tdi Premium Plus,"Rs. 50,21,200",1968 cc,64 litres,Diesel,12 km/litre,Automatic
786,Audi Q5 35 Tdi Technology,"Rs. 56,21,200",1968 cc,64 litres,Diesel,12 km/litre,Automatic
787,Audi Q5 45 Tfsi Premium Plus,"Rs. 50,21,200",1984 cc,70 litres,Petrol,,Automatic
788,Audi Q5 45 Tfsi Technology,"Rs. 56,21,200",1984 cc,70 litres,Petrol,,Automatic
789,Land Rover Rover Range Evoque S,"Rs. 54,94,000",1999 cc,,Diesel,,Automatic
790,Land Rover Rover Range Evoque Se R-Dynamic,"Rs. 59,85,000",1999 cc,,Diesel,,Automatic
791,Land Rover Rover Range Evoque S Petrol,"Rs. 54,94,000",1997 cc,,Petrol,,Automatic
792,Land Rover Rover Range Evoque Se R-Dynamic Petrol,"Rs. 59,85,000",1997 cc,,Petrol,,Automatic
793, Mercedes-Benz E-Class E200,"Rs. 58,61,062",1991 cc,80 litres,Petrol,8.5 km/litre,Automatic
794, Mercedes-Benz E-Class E350 D,"Rs. 72,85,332",2987 cc,80 litres,Diesel,7.45 km/litre,Automatic
795, Mercedes-Benz E-Class E220D,"Rs. 59,64,321",2987 cc,80 litres,Diesel,,Automatic
796, Mercedes-Benz E-Class E 63 S Amg,"Rs. 1,50,00,000",5461 cc,80 litres,Petrol,4.5 km/litre,Automatic
797, Mercedes-Benz E-Class E200 Expression,"Rs. 57,50,000",1991 cc,80 litres,Petrol,8.5 km/litre,Automatic
798, Mercedes-Benz E-Class E200 Exclusive,"Rs. 61,50,000",1991 cc,80 litres,Petrol,8.5 km/litre,Automatic
799, Mercedes-Benz E-Class E220D Expression,"Rs. 58,50,000",2987 cc,80 litres,Diesel,,Automatic
800, Mercedes-Benz E-Class E220D Exclusive,"Rs. 62,50,000",2987 cc,80 litres,Diesel,,Automatic
801,Volvo Xc60 Inscription D5,"Rs. 59,90,000",1969 cc,70 litres,Diesel,11.7 km/litre,Automatic
802,Bmw X4 Xdrive20D M Sport X,"Rs. 60,60,000",1995 cc,60 litres,Diesel,,Automatic
803,Bmw X4 Xdrive30D M Sport X,"Rs. 65,90,000",2993 cc,68 litres,Diesel,,Automatic
804,Bmw X4 Xdrive30I M Sport X,"Rs. 63,50,000",1998 cc,68 litres,Petrol,,Automatic
805,Jeep Wrangler Unlimited,"Rs. 63,94,000",1999 cc,85 litres,Petrol,17.5 km/litre,Automatic
806, Mercedes-Benz C-Class Cabriolet C300,"Rs. 64,26,497",1991 cc,60 litres,Petrol,,Automatic
807,Bmw Z4 Roadster Sdrive 20I,"Rs. 64,90,000",1998 cc,52 litres,Petrol,,Automatic
808,Bmw Z4 Roadster M 40I,"Rs. 78,90,000",2998 cc,52 litres,Petrol,,Automatic
809, Mercedes-Benz V-Class Expression Elwb,"Rs. 68,40,000",2143 cc,93 litres,Diesel,,Automatic
810, Mercedes-Benz V-Class Exclusive Lwb,"Rs. 81,90,000",2143 cc,93 litres,Diesel,,Automatic
811, Mercedes-Benz V-Class Elite,"Rs. 1,10,00,000",1950 cc,70 litres,Diesel,,Automatic
812,Audi Q7 45 Tdi Premium Plus,"Rs. 72,21,500",2967 cc,75 litres,Diesel,9.3 km/litre,Automatic
813,Audi Q7 45 Tdi Technology Pack,"Rs. 80,21,500",2967 cc,75 litres,Diesel,9.3 km/litre,Automatic
814,Audi Q7 40 Tfsi Quattro Premium Plus,"Rs. 69,21,500",1984 cc,75 litres,Petrol,,Automatic
815,Audi Q7 40 Tfsi Quattro Technology Pack,"Rs. 76,21,500",1984 cc,75 litres,Petrol,,Automatic
816,Audi Q7 45 Tdi Black Styling,"Rs. 81,11,500",2967 cc,75 litres,Diesel,9.3 km/litre,Automatic
817,Audi Q7 40 Tfsi Quattro Black Styling,"Rs. 77,11,500",1984 cc,75 litres,Petrol,,Automatic
818,Land Rover Rover Range Evoque Convertible 2.0 Hse Dynamic,"Rs. 69,52,964",1998 cc,,Petrol,15.68 km/litre,Automatic
819,Land Rover Rover Range Velar 2.0 Diesel R-Dynamic S,"Rs. 72,46,802",1999 cc,,Diesel,15.68 km/litre,Automatic
820,Land Rover Rover Range Velar 2.0 Petrol R-Dynamic S,"Rs. 72,46,802",1997 cc,65 litres,Petrol,12.63 km/litre,Automatic
821, Mercedes-Benz E-Class All Terrain E 220D,"Rs. 75,00,000",1950 cc,80 litres,Diesel,,Automatic
822,Volvo Xc90 D5 Inscription,"Rs. 87,90,000",1969 cc,68 litres,Diesel,13.2 km/litre,Automatic
823,Volvo Xc90 D5 Momentum,"Rs. 80,90,000",1969 cc,68 litres,Diesel,13.2 km/litre,Automatic
824,Volvo Xc90 T8 Excellence,"Rs. 1,31,24,000",1969 cc,68 litres,Hybrid,5 km/litre,Automatic
825,Volvo Xc90 T8 Inscription,"Rs. 96,65,000",1969 cc,68 litres,Hybrid,,Automatic
826,Volvo Xc90 D5 R-Design,"Rs. 84,91,500",1969 cc,68 litres,Diesel,13.2 km/litre,Automatic
827,Land Rover Rover Range Sport 5.0L V8 Svr Petrol,"Rs. 2,05,17,853",4999 cc,,Petrol,,Automatic
828,Land Rover Rover Range Sport 2.0L S Petrol,"Rs. 86,70,586",1997 cc,105 litres,Petrol,,Automatic
829,Land Rover Rover Range Sport 2.0L Se Petrol,"Rs. 94,48,181",1997 cc,105 litres,Petrol,,Automatic
830,Land Rover Rover Range Sport 3.0L V6 Se Petrol,"Rs. 1,14,76,911",2995 cc,85 litres,Petrol,,Automatic
831,Land Rover Rover Range Sport 2.0L Hse Petrol,"Rs. 1,56,00,000",1997 cc,105 litres,Petrol,,Automatic
832,Land Rover Rover Range Sport 3.0L V6 Hse Petrol,"Rs. 1,32,28,725",2995 cc,85 litres,Petrol,,Automatic
833,Land Rover Rover Range Sport 5.0L V8 Autobiography Dynamic Petrol,"Rs. 1,79,40,227",4999 cc,,Petrol,,Automatic
834,Land Rover Rover Range Sport 3.0L Tdv6 S Diesel,"Rs. 1,03,73,732",2993 cc,80 litres,Diesel,,Automatic
835,Land Rover Rover Range Sport 3.0L Tdv6 Se Diesel,"Rs. 1,19,13,021",2993 cc,80 litres,Diesel,,Automatic
836,Land Rover Rover Range Sport 4.4L Sdv8 Hse Diesel,"Rs. 1,49,08,985",4367 cc,105 litres,Diesel,5.9 km/litre,Automatic
837,Jaguar Xj 3.0L,"Rs. 97,38,609",2993 cc,82 litres,Diesel,9.5 km/litre,Automatic
838,Jaguar Xj 3.0L Portfolio,"Rs. 1,07,25,145",2993 cc,83 litres,Diesel,9.5 km/litre,Automatic
839,Jaguar Xj 50,"Rs. 1,11,29,599",2993 cc,82 litres,Diesel,9.5 km/litre,Automatic
840,Porsche Cayenne E-Hybrid,"Rs. 1,58,06,000",2995 cc,75 litres,Hybrid,,Automatic
841,Porsche Cayenne Turbo,"Rs. 1,92,10,000",3996 cc,90 litres,Petrol,,Automatic
842,Porsche Cayenne Base,"Rs. 1,19,36,000",2995 cc,75 litres,Petrol,,Automatic
843,Maserati Ghibli Diesel,"Rs. 1,33,87,856",2987 cc,70 litres,Diesel,,Automatic
844,Maserati Ghibli Gransport,"Rs. 1,38,81,858",2987 cc,70 litres,Diesel,,Automatic
845,Maserati Ghibli Granlusso,"Rs. 1,42,47,814",2987 cc,70 litres,Diesel,,Automatic
846,Toyota Land Cruiser Vx,"Rs. 1,46,99,000",4461 cc,93 litres,Diesel,5.3 km/litre,Automatic
847,Audi Rs7 Sportback,"Rs. 1,70,72,000",3993 cc,75 litres,Petrol,5.6 km/litre,Automatic
848,Land Rover Rover Range 5.0L V8 Autobiography Petrol,"Rs. 2,60,37,526",4999 cc,105 litres,Petrol,4.4 km/litre,Automatic
849,Land Rover Rover Range 5.0L V8 Svautobiography Dynamic Petrol,"Rs. 3,25,22,000",4999 cc,105 litres,Petrol,4.4 km/litre,Automatic
850,Land Rover Rover Range 3.0L V6 Vogue Lwb Petrol,"Rs. 1,95,27,130",2995 cc,85 litres,Petrol,8.1 km/litre,Automatic
851,Land Rover Rover Range 5.0L V8 Svautobiography Lwb Petrol,"Rs. 4,04,99,548",4999 cc,65 litres,Petrol,8 km/litre,Automatic
852,Land Rover Rover Range 3.0L Tdv6 Vogue Diesel,"Rs. 1,81,85,267",2993 cc,,Diesel,,Automatic
853,Land Rover Rover Range 3.0L Tdv6 Vogue Lwb Diesel,"Rs. 1,95,27,130",2993 cc,,Diesel,,Automatic
854,Land Rover Rover Range 4.4L Sdv8 Autobiography Lwb Diesel,"Rs. 2,51,74,051",4367 cc,,Diesel,,Automatic
855,Land Rover Rover Range 4.4L Sdv8 Svautobiography Lwb Diesel,"Rs. 3,92,94,685",4367 cc,,Diesel,8.69 km/litre,Automatic
856,Land Rover Rover Range 4.4L Sdv8 Vogue Se Lwb Diesel,"Rs. 2,36,75,691",4367 cc,,Diesel,,Automatic
857,Land Rover Rover Range 3.0L V6 Vogue Se Lwb Petrol,"Rs. 2,13,98,758",2995 cc,85 litres,Petrol,8.1 km/litre,Automatic
858,Maserati Grancabrio Standard,"Rs. 1,98,65,675",4691 cc,75 litres,Petrol,4 km/litre,Automatic
859, Mercedes-Benz Amg-Gt S,"Rs. 2,15,83,466",3982 cc,75 litres,Petrol,5 km/litre,Automatic
860, Mercedes-Benz Amg-Gt R,"Rs. 2,32,64,134",3982 cc,75 litres,Petrol,5 km/litre,Automatic
861, Mercedes-Benz Amg-Gt Roadster,"Rs. 2,27,33,626",3982 cc,75 litres,Petrol,5 km/litre,Automatic
862, Mercedes-Benz Amg Gt 4-Door Coupe 63 S 4Matic+,"Rs. 2,42,00,000",,65 litres,Petrol,,Automatic
863,Lamborghini Huracan Lp 610-4,"Rs. 3,71,33,704",5204 cc,90 litres,Petrol,5.6 km/litre,Automatic
864,Lamborghini Huracan Lp 580-2,"Rs. 3,24,52,486",5204 cc,90 litres,Petrol,5.8 km/litre,Automatic
865,Lamborghini Huracan Avio,"Rs. 3,51,50,732",5204 cc,90 litres,Petrol,10.6 km/litre,Automatic
866,Lamborghini Huracan Performante,"Rs. 3,76,14,126",5204 cc,90 litres,Petrol,5.6 km/litre,Automatic
867,Lamborghini Huracan Lp 580-2 Spyder,"Rs. 3,55,35,000",5204 cc,90 litres,Petrol,5.8 km/litre,Automatic
868,Lamborghini Huracan Lp 610-4 Spyder,"Rs. 4,07,42,932",5204 cc,90 litres,Petrol,5.6 km/litre,Automatic
869,Lamborghini Huracan Evo,"Rs. 3,73,00,000",5204 cc,90 litres,Petrol,5.6 km/litre,Automatic
870,Lamborghini Huracan Evo Spyder,"Rs. 4,10,00,000",5204 cc,,Petrol,5.6 km/litre,Automatic
871,Lamborghini Huracan Evo Rwd,"Rs. 3,22,00,000",5204 cc,90 litres,Petrol,5.6 km/litre,Automatic
872,Ferrari 488 Gtb Std,"Rs. 3,67,61,413",3902 cc,78 litres,Petrol,3.2 km/litre,Automatic
873,Ferrari 488 Gtb Spider,"Rs. 3,93,19,552",3902 cc,78 litres,Petrol,3.2 km/litre,Automatic
874,Ferrari Gtc4 Lusso V8 T,"Rs. 4,20,00,000",3900 cc,91 litres,Petrol,,Automatic
875,Ferrari Gtc4 Lusso V12,"Rs. 5,20,00,000",6262 cc,91 litres,Petrol,,Automatic
876,Lamborghini Aventador Lp 700-4,"Rs. 4,78,93,943",6498 cc,90 litres,Petrol,3 km/litre,Automatic
877,Lamborghini Aventador Lp700-4 Roadster,"Rs. 5,32,10,327",6498 cc,90 litres,Petrol,3.6 km/litre,Automatic
878,Lamborghini Aventador S,"Rs. 4,74,67,700",6498 cc,90 litres,Petrol,3.6 km/litre,Automatic
879, Rolls-Royce Dawn Convertible,"Rs. 5,92,16,193",6598 cc,80 litres,Petrol,7.9 km/litre,Automatic
880, Rolls-Royce Drophead Coupe Phantom,"Rs. 8,37,55,383",6749 cc,100 litres,Petrol,4.38 km/litre,Automatic
881,Maruti Suzuki Omni 5 Str Bs-Iv,"Rs. 2,82,778",796 cc,35 litres,Petrol,13 km/litre,Manual
882,Maruti Suzuki Omni E 8 Str Bs-Iv,"Rs. 2,84,485",796 cc,36 litres,Petrol,13 km/litre,Manual
883, Go+ Datsun D,"Rs. 4,12,292",1198 cc,35 litres,Petrol,12.8 km/litre,Manual
884, Go+ Datsun T,"Rs. 5,52,656",1198 cc,35 litres,Petrol,12.8 km/litre,Manual
885, Go+ Datsun T (O),"Rs. 5,74,448",1198 cc,35 litres,Petrol,16.3 km/litre,Manual
886, Go+ Datsun A (O),"Rs. 5,55,196",1198 cc,35 litres,Petrol,20.62 km/litre,Manual
887, Go+ Datsun A,"Rs. 5,00,575",1198 cc,35 litres,Petrol,20.62 km/litre,Manual
888, Go+ Datsun T Vdc,"Rs. 5,93,361",1198 cc,35 litres,Petrol,12.8 km/litre,Manual
889, Go+ Datsun T (O) Vdc,"Rs. 6,15,153",1198 cc,35 litres,Petrol,16.3 km/litre,Manual
890, Go+ Datsun T Cvt,"Rs. 6,58,361",1198 cc,35 litres,Petrol,12.8 km/litre,Manual
891, Go+ Datsun T (O) Cvt,"Rs. 6,80,153",1198 cc,35 litres,Petrol,16.3 km/litre,Manual
892,Fiat Punto Evo Pure 1.2L Fire Dynamic,"Rs. 4,82,330",1172 cc,45 litres,Petrol,12 km/litre,Manual
893,Fiat Punto Evo Pure 1.3,"Rs. 5,75,947",1248 cc,45 litres,Diesel,,Manual
894,Ford Figo Ambiente 1.2 Ti-Vct,"Rs. 5,23,000",1194 cc,42 litres,Petrol,,Manual
895,Ford Figo Ambiente 1.5 Tdci,"Rs. 6,23,000",1498 cc,40 litres,Diesel,17 km/litre,Manual
896,Ford Figo Titanium 1.2 Ti-Vct,"Rs. 5,99,900",1196 cc,42 litres,Petrol,,Manual
897,Ford Figo Titanium1.5 Tdci,"Rs. 6,99,900",1498 cc,40 litres,Diesel,,Manual
898,Ford Figo Titanium Blu 1.2 Ti-Vct,"Rs. 6,64,900",1194 cc,42 litres,Petrol,,Manual
899,Ford Figo Titanium Blu 1.5 Tdci,"Rs. 7,64,900",1498 cc,40 litres,Diesel,,Manual
900,Maruti Suzuki Baleno 1.3 Delta,"Rs. 7,46,621",1248 cc,37 litres,Diesel,27.39 km/litre,Manual
901,Maruti Suzuki Baleno 1.3 Alpha,"Rs. 8,68,221",1248 cc,37 litres,Diesel,27.39 km/litre,Manual
902,Maruti Suzuki Baleno 1.3 Sigma,"Rs. 6,68,611",1248 cc,37 litres,Diesel,27.39 km/litre,Manual
903,Maruti Suzuki Baleno 1.3 Zeta,"Rs. 8,07,921",1248 cc,37 litres,Diesel,27.39 km/litre,Manual
904,Maruti Suzuki Baleno 1.2 Alpha,"Rs. 7,58,212",1197 cc,37 litres,Petrol,21.4 km/litre,Manual
905,Maruti Suzuki Baleno 1.2 Alpha Cvt,"Rs. 8,90,212",1197 cc,37 litres,Petrol,21.4 km/litre,Automatic
906,Maruti Suzuki Baleno 1.2 Delta,"Rs. 6,36,612",1197 cc,37 litres,Petrol,21.4 km/litre,Manual
907,Maruti Suzuki Baleno 1.2 Delta Cvt,"Rs. 7,68,612",1197 cc,37 litres,Petrol,21.4 km/litre,Automatic
908,Maruti Suzuki Baleno 1.2 Sigma,"Rs. 5,58,602",1197 cc,37 litres,Petrol,21.4 km/litre,Manual
909,Maruti Suzuki Baleno 1.2 Zeta,"Rs. 6,97,912",1197 cc,37 litres,Petrol,21.4 km/litre,Manual
910,Maruti Suzuki Baleno 1.2 Delta Dualjet,"Rs. 7,33,412",1197 cc,37 litres,Petrol,21.4 km/litre,Manual
911,Maruti Suzuki Baleno 1.2 Zeta Dualjet,"Rs. 7,89,912",1197 cc,37 litres,Petrol,21.4 km/litre,Manual
912,Maruti Suzuki Baleno 1.2 Zeta Cvt,"Rs. 8,29,912",1197 cc,37 litres,Petrol,21.4 km/litre,Automatic
913,Hyundai Grand I10 1.2 Kappa Vtvt Magna,"Rs. 5,86,428",1197 cc,43 litres,Petrol,18.9 km/litre,Manual
914,Hyundai Grand I10 1.2 Kappa Vtvt Sportz,"Rs. 6,20,637",1197 cc,43 litres,Petrol,18.9 km/litre,Manual
915,Hyundai Grand I10 1.2 Kappa Vtvt Magna At,"Rs. 6,52,328",1197 cc,43 litres,Petrol,18.9 km/litre,Automatic
916,Hyundai Grand I10 1.2 Kappa Vtvt Sportz At,"Rs. 7,05,538",1197 cc,43 litres,Petrol,18.9 km/litre,Automatic
917,Hyundai Grand I10 1.2 Kappa Vtvt Sportz Dual Tone,"Rs. 6,40,537",1197 cc,43 litres,Petrol,18.9 km/litre,Manual
918,Hyundai Grand I10 1.2 Kappa Vtvt Magna Cng,"Rs. 6,53,452",1197 cc,43 litres,CNG,,Manual
919,Fiat Linea Classic 1.3 Multijet,"Rs. 7,51,203",1248 cc,45 litres,Diesel,16.2 km/litre,Manual
920,Fiat Linea Classic 1.4,"Rs. 6,46,336",1368 cc,45 litres,Petrol,11.4 km/litre,Manual
921,Fiat Linea Classic Plus 1.3 Multijet,"Rs. 8,08,558",1248 cc,45 litres,Diesel,16.2 km/litre,Manual
922,Nissan Sunny Xe Petrol,"Rs. 7,07,025",1498 cc,41 litres,Petrol,10.6 km/litre,Manual
923,Nissan Sunny Xl Petrol,"Rs. 8,36,461",1498 cc,41 litres,Petrol,10.6 km/litre,Manual
924,Nissan Sunny Xl Diesel,"Rs. 9,12,534",1461 cc,41 litres,Diesel,18 km/litre,Manual
925,Nissan Sunny Xv Diesel,"Rs. 9,93,997",1461 cc,41 litres,Diesel,18 km/litre,Manual
926,Nissan Sunny Xe Diesel,"Rs. 8,60,997",1461 cc,41 litres,Diesel,18 km/litre,Manual
927,Nissan Sunny Xv Cvt,"Rs. 9,93,997",1498 cc,41 litres,Petrol,10.6 km/litre,Automatic
928,Nissan Sunny Special Edition Diesel,"Rs. 8,77,285",1461 cc,41 litres,Diesel,18 km/litre,Manual
929,Maruti Suzuki Ertiga Lxi,"Rs. 7,59,000",1462 cc,45 litres,Petrol,,Manual
930,Maruti Suzuki Ertiga Zxi,"Rs. 9,17,000",1462 cc,45 litres,Petrol,,Manual
931,Maruti Suzuki Ertiga Vxi At,"Rs. 9,36,000",1462 cc,45 litres,Petrol,,Automatic
932,Maruti Suzuki Ertiga Zxi Plus,"Rs. 9,71,000",1462 cc,45 litres,Petrol,,Manual
933,Maruti Suzuki Ertiga Vxi,"Rs. 8,34,000",1462 cc,45 litres,Petrol,,Manual
934,Maruti Suzuki Ertiga Zxi At,"Rs. 10,13,000",1462 cc,45 litres,Petrol,,Automatic
935,Maruti Suzuki Ertiga 1.5L Vdi,"Rs. 9,86,689",1498 cc,45 litres,Diesel,,Manual
936,Maruti Suzuki Ertiga 1.5L Zdi,"Rs. 10,69,689",1498 cc,45 litres,Diesel,,Manual
937,Maruti Suzuki Ertiga 1.5L Zdi Plus,"Rs. 11,20,689",1498 cc,45 litres,Diesel,,Manual
938,Maruti Suzuki Ertiga Vxi Cng (Cng +,"Rs. 8,87,689",1462 cc,45 litres,CNG + Petrol,,Manual
939,Maruti Suzuki Baleno Rs Rs 1.0,"Rs. 7,88,913",998 cc,37 litres,Petrol,21.4 km/litre,Manual
940,Honda Wr-V Vx Diesel,"Rs. 10,35,000",1498 cc,40 litres,Diesel,25.5 km/litre,Manual
941,Honda Wr-V Vx Petrol,"Rs. 9,25,000",1199 cc,40 litres,Petrol,17.5 km/litre,Manual
942,Honda Wr-V S Diesel,"Rs. 9,25,000",1498 cc,40 litres,Diesel,25.5 km/litre,Manual
943,Honda Wr-V S Petrol,"Rs. 8,15,000",1199 cc,40 litres,Petrol,17.5 km/litre,Manual
944,Honda Wr-V Edge Plus Edition Diesel,"Rs. 9,16,050",1498 cc,40 litres,Diesel,25.5 km/litre,Manual
945,Honda Wr-V Edge Plus Edition Petrol,"Rs. 8,08,050",1199 cc,40 litres,Petrol,17.5 km/litre,Manual
946,Honda Wr-V Exclusive Edition Diesel,"Rs. 10,48,050",1498 cc,40 litres,Diesel,25.5 km/litre,Manual
947,Honda Wr-V Exclusive Edition Petrol,"Rs. 9,35,050",1199 cc,40 litres,Petrol,17.5 km/litre,Manual
948,Honda Wr-V V Diesel,"Rs. 9,95,000",1498 cc,40 litres,Diesel,25.5 km/litre,Manual
949,Mahindra Tuv300 T4 Plus,"Rs. 8,54,328",1493 cc,60 litres,Diesel,18.49 km/litre,Manual
950,Mahindra Tuv300 T6 Plus,"Rs. 9,14,328",1493 cc,60 litres,Diesel,18.49 km/litre,Manual
951,Mahindra Tuv300 T8,"Rs. 9,76,592",1493 cc,60 litres,Diesel,18.49 km/litre,Manual
952,Mahindra Tuv300 T10,"Rs. 9,99,614",1493 cc,60 litres,Diesel,18.49 km/litre,Manual
953,Mahindra Tuv300 T10 (O),"Rs. 10,31,943",1493 cc,60 litres,Diesel,18.49 km/litre,Manual
954,Mahindra Tuv300 T10 Dual Tone,"Rs. 10,22,930",1493 cc,60 litres,Diesel,18.49 km/litre,Manual
955,Mahindra Tuv300 T10 (O) Dual Tone,"Rs. 10,55,259",1493 cc,60 litres,Diesel,18.49 km/litre,Manual
956,Maruti Suzuki S-Cross 1.3L Sigma,"Rs. 8,80,689",1248 cc,48 litres,Diesel,23.65 km/litre,Manual
957,Maruti Suzuki S-Cross 1.3L Delta,"Rs. 9,92,689",1248 cc,48 litres,Diesel,23.65 km/litre,Manual
958,Maruti Suzuki S-Cross 1.3L Zeta,"Rs. 10,43,689",1248 cc,48 litres,Diesel,23.65 km/litre,Manual
959,Maruti Suzuki S-Cross 1.3L Alpha,"Rs. 11,43,689",1248 cc,48 litres,Diesel,23.65 km/litre,Manual
960,Renault Captur Rxe Petrol,"Rs. 9,49,999",1498 cc,50 litres,Petrol,,Manual
961,Renault Captur Rxe Diesel,"Rs. 10,49,999",1461 cc,50 litres,Diesel,,Manual
962,Renault Captur Platine Diesel Dual Tone,"Rs. 12,99,999",1461 cc,50 litres,Diesel,,Manual
963,Renault Captur Platine Petrol Dual Tone,"Rs. 11,99,999",1498 cc,50 litres,Petrol,,Manual
964,Mahindra Xylo D2 Bs-Iv,"Rs. 9,63,037",2489 cc,55 litres,Diesel,10.7 km/litre,Manual
965,Mahindra Xylo D4 Bs-Iv,"Rs. 10,04,487",2489 cc,55 litres,Diesel,10.3 km/litre,Manual
966,Mahindra Xylo H4 Bs-Iv,"Rs. 10,31,951",2179 cc,55 litres,Diesel,11.4 km/litre,Manual
967,Mahindra Xylo H4 Abs Bs-Iv,"Rs. 10,66,139",2179 cc,55 litres,Diesel,11.4 km/litre,Manual
968,Mahindra Xylo H8 Abs Airbags Bs-Iv,"Rs. 12,28,335",2179 cc,55 litres,Diesel,11.4 km/litre,Manual
969,Kia Seltos Hte 1.5,"Rs. 9,89,000",1497 cc,60 litres,Petrol,,Manual
970,Kia Seltos Htk 1.5,"Rs. 10,29,000",1497 cc,60 litres,Petrol,,Manual
